STATION,NAME,DATE,TMAX,TMIN,Avg Temp
USC00367938,"SELLERSVILLE, PA US",8/16/2017,74,64,66
USC00367938,"SELLERSVILLE, PA US",8/17/2017,86,62,64
USC00367938,"SELLERSVILLE, PA US",8/18/2017,87,64,73
USC00367938,"SELLERSVILLE, PA US",8/19/2017,89,67,70
USC00367938,"SELLERSVILLE, PA US",8/20/2017,85,60,61
USC00367938,"SELLERSVILLE, PA US",8/21/2017,82,60,64
USC00367938,"SELLERSVILLE, PA US",8/22/2017,85,63,69
USC00367938,"SELLERSVILLE, PA US",8/23/2017,89,67,70
USC00367938,"SELLERSVILLE, PA US",8/24/2017,80,56,57
USC00367938,"SELLERSVILLE, PA US",8/25/2017,77,56,59
USC00367938,"SELLERSVILLE, PA US",8/26/2017,76,58,60
USC00367938,"SELLERSVILLE, PA US",8/27/2017,77,52,55
USC00367938,"SELLERSVILLE, PA US",8/28/2017,76,52,57
USC00367938,"SELLERSVILLE, PA US",8/29/2017,75,57,61
USC00367938,"SELLERSVILLE, PA US",8/30/2017,63,56,59
USC00367938,"SELLERSVILLE, PA US",8/31/2017,75,56,62
USC00367938,"SELLERSVILLE, PA US",9/1/2017,80,43,55
USC00367938,"SELLERSVILLE, PA US",9/2/2017,69,49,52
USC00367938,"SELLERSVILLE, PA US",9/3/2017,62,52,60
USC00367938,"SELLERSVILLE, PA US",9/4/2017,70,50,52
USC00367938,"SELLERSVILLE, PA US",9/5/2017,79,52,63
USC00367938,"SELLERSVILLE, PA US",9/6/2017,79,60,62
USC00367938,"SELLERSVILLE, PA US",9/7/2017,62,50,56
USC00367938,"SELLERSVILLE, PA US",9/8/2017,70,51,53
USC00367938,"SELLERSVILLE, PA US",9/9/2017,70,47,51
USC00367938,"SELLERSVILLE, PA US",9/10/2017,67,40,51
USC00367938,"SELLERSVILLE, PA US",9/11/2017,73,45,48
USC00367938,"SELLERSVILLE, PA US",9/12/2017,76,46,53
USC00367938,"SELLERSVILLE, PA US",9/13/2017,79,53,57
USC00367938,"SELLERSVILLE, PA US",9/14/2017,74,55,66
USC00367938,"SELLERSVILLE, PA US",9/15/2017,80,57,59
USC00367938,"SELLERSVILLE, PA US",9/16/2017,83,59,61
USC00367938,"SELLERSVILLE, PA US",9/17/2017,86,60,68
USC00367938,"SELLERSVILLE, PA US",9/18/2017,80,67,68
USC00367938,"SELLERSVILLE, PA US",9/19/2017,74,65,68
USC00367938,"SELLERSVILLE, PA US",9/20/2017,80,67,68
USC00367938,"SELLERSVILLE, PA US",9/21/2017,85,61,67
USC00367938,"SELLERSVILLE, PA US",9/22/2017,85,60,62
USC00367938,"SELLERSVILLE, PA US",9/23/2017,83,57,60
USC00367938,"SELLERSVILLE, PA US",9/24/2017,87,59,60
USC00367938,"SELLERSVILLE, PA US",9/25/2017,90,59,68
USC00367938,"SELLERSVILLE, PA US",9/26/2017,91,63,64
USC00367938,"SELLERSVILLE, PA US",9/27/2017,83,63,71
USC00367938,"SELLERSVILLE, PA US",9/28/2017,89,67,68
USC00367938,"SELLERSVILLE, PA US",9/29/2017,74,44,45
USC00367938,"SELLERSVILLE, PA US",9/30/2017,69,45,50
USC00367938,"SELLERSVILLE, PA US",10/1/2017,69,41,44
USC00367938,"SELLERSVILLE, PA US",10/2/2017,68,40,45
USC00367938,"SELLERSVILLE, PA US",10/3/2017,74,41,43
USC00367938,"SELLERSVILLE, PA US",10/4/2017,73,43,46
USC00367938,"SELLERSVILLE, PA US",10/5/2017,77,46,59
USC00367938,"SELLERSVILLE, PA US",10/6/2017,82,59,63
USC00367938,"SELLERSVILLE, PA US",10/7/2017,78,59,59
USC00367938,"SELLERSVILLE, PA US",10/8/2017,83,59,72
USC00367938,"SELLERSVILLE, PA US",10/9/2017,77,70,72
USC00367938,"SELLERSVILLE, PA US",10/10/2017,78,63,64
USC00367938,"SELLERSVILLE, PA US",10/11/2017,80,60,62
USC00367938,"SELLERSVILLE, PA US",10/12/2017,72,56,57
USC00367938,"SELLERSVILLE, PA US",10/13/2017,61,51,52
USC00367938,"SELLERSVILLE, PA US",10/14/2017,62,51,60
USC00367938,"SELLERSVILLE, PA US",10/15/2017,67,57,64
USC00367938,"SELLERSVILLE, PA US",10/16/2017,68,56,57
USC00367938,"SELLERSVILLE, PA US",10/17/2017,58,34,40
USC00367938,"SELLERSVILLE, PA US",10/18/2017,60,34,49
USC00367938,"SELLERSVILLE, PA US",10/19/2017,71,39,39
USC00367938,"SELLERSVILLE, PA US",10/20/2017,70,36,49
USC00367938,"SELLERSVILLE, PA US",10/21/2017,73,38,44
USC00367938,"SELLERSVILLE, PA US",10/22/2017,76,40,45
USC00367938,"SELLERSVILLE, PA US",10/23/2017,75,45,58
USC00367938,"SELLERSVILLE, PA US",10/24/2017,75,45,69
USC00367938,"SELLERSVILLE, PA US",10/25/2017,74,44,45
USC00367938,"SELLERSVILLE, PA US",10/26/2017,65,42,44
USC00367938,"SELLERSVILLE, PA US",10/27/2017,54,33,33
USC00367938,"SELLERSVILLE, PA US",10/28/2017,63,33,38
USC00367938,"SELLERSVILLE, PA US",10/29/2017,69,38,60
USC00367938,"SELLERSVILLE, PA US",10/30/2017,65,44,45
USC00367938,"SELLERSVILLE, PA US",10/31/2017,55,35,36
USC00367938,"SELLERSVILLE, PA US",11/1/2017,56,32,38
USC00367938,"SELLERSVILLE, PA US",11/2/2017,59,37,57
USC00367938,"SELLERSVILLE, PA US",11/3/2017,74,50,50
USC00367938,"SELLERSVILLE, PA US",11/4/2017,71,35,36
USC00367938,"SELLERSVILLE, PA US",11/5/2017,58,36,51
USC00367938,"SELLERSVILLE, PA US",11/6/2017,64,51,61
USC00367938,"SELLERSVILLE, PA US",11/7/2017,66,33,40
USC00367938,"SELLERSVILLE, PA US",11/8/2017,46,37,39
USC00367938,"SELLERSVILLE, PA US",11/9/2017,52,32,40
USC00367938,"SELLERSVILLE, PA US",11/10/2017,54,35,37
USC00367938,"SELLERSVILLE, PA US",11/11/2017,38,17,21
USC00367938,"SELLERSVILLE, PA US",11/12/2017,40,21,25
USC00367938,"SELLERSVILLE, PA US",11/13/2017,45,24,35
USC00367938,"SELLERSVILLE, PA US",11/14/2017,44,28,33
USC00367938,"SELLERSVILLE, PA US",11/15/2017,48,24,28
USC00367938,"SELLERSVILLE, PA US",11/16/2017,50,28,45
USC00367938,"SELLERSVILLE, PA US",11/17/2017,56,35,38
USC00367938,"SELLERSVILLE, PA US",11/18/2017,49,24,28
USC00367938,"SELLERSVILLE, PA US",11/19/2017,58,28,48
USC00367938,"SELLERSVILLE, PA US",11/20/2017,51,35,36
USC00367938,"SELLERSVILLE, PA US",11/21/2017,47,24,27
USC00367938,"SELLERSVILLE, PA US",11/22/2017,58,27,42
USC00367938,"SELLERSVILLE, PA US",11/23/2017,54,21,29
USC00367938,"SELLERSVILLE, PA US",11/24/2017,41,17,30
USC00367938,"SELLERSVILLE, PA US",11/25/2017,52,24,28
USC00367938,"SELLERSVILLE, PA US",11/26/2017,56,28,44
USC00367938,"SELLERSVILLE, PA US",11/27/2017,48,21,29
USC00367938,"SELLERSVILLE, PA US",11/28/2017,54,26,29
USC00367938,"SELLERSVILLE, PA US",11/29/2017,59,29,35
USC00367938,"SELLERSVILLE, PA US",11/30/2017,63,25,32
USC00367938,"SELLERSVILLE, PA US",12/1/2017,53,30,30
USC00367938,"SELLERSVILLE, PA US",12/2/2017,52,22,26
USC00367938,"SELLERSVILLE, PA US",12/3/2017,49,26,34
USC00367938,"SELLERSVILLE, PA US",12/4/2017,49,25,26
USC00367938,"SELLERSVILLE, PA US",12/5/2017,51,26,48
USC00367938,"SELLERSVILLE, PA US",12/6/2017,57,37,37
USC00367938,"SELLERSVILLE, PA US",12/7/2017,43,19,22
USC00367938,"SELLERSVILLE, PA US",12/8/2017,44,22,28
USC00367938,"SELLERSVILLE, PA US",12/9/2017,35,28,32
USC00367938,"SELLERSVILLE, PA US",12/10/2017,33,15,16
USC00367938,"SELLERSVILLE, PA US",12/11/2017,37,15,28
USC00367938,"SELLERSVILLE, PA US",12/12/2017,40,16,35
USC00367938,"SELLERSVILLE, PA US",12/13/2017,42,17,21
USC00367938,"SELLERSVILLE, PA US",12/14/2017,29,,22
USC00367938,"SELLERSVILLE, PA US",12/15/2017,31,6,12
USC00367938,"SELLERSVILLE, PA US",12/16/2017,25,6,8
USC00367938,"SELLERSVILLE, PA US",12/17/2017,37,7,25
USC00367938,"SELLERSVILLE, PA US",12/18/2017,39,25,35
USC00367938,"SELLERSVILLE, PA US",12/19/2017,48,35,36
USC00367938,"SELLERSVILLE, PA US",12/20/2017,57,32,38
USC00367938,"SELLERSVILLE, PA US",12/21/2017,46,21,25
USC00367938,"SELLERSVILLE, PA US",12/22/2017,44,25,34
USC00367938,"SELLERSVILLE, PA US",12/23/2017,45,34,39
USC00367938,"SELLERSVILLE, PA US",12/24/2017,54,31,35
USC00367938,"SELLERSVILLE, PA US",12/25/2017,39,33,34
USC00367938,"SELLERSVILLE, PA US",12/26/2017,35,18,20
USC00367938,"SELLERSVILLE, PA US",12/27/2017,27,9,17
USC00367938,"SELLERSVILLE, PA US",12/28/2017,23,3,10
USC00367938,"SELLERSVILLE, PA US",12/29/2017,18,5,10
USC00367938,"SELLERSVILLE, PA US",12/30/2017,20,6,14
USC00367938,"SELLERSVILLE, PA US",12/31/2017,22,7,7
USC00367938,"SELLERSVILLE, PA US",1/1/2018,12,-2,2
USC00367938,"SELLERSVILLE, PA US",1/2/2018,17,-3,6
USC00367938,"SELLERSVILLE, PA US",1/3/2018,23,-3,-1
USC00367938,"SELLERSVILLE, PA US",1/4/2018,29,-1,21
