Day of week,Date,distance,Time,Pace,MD,Month,Year
Sunday,5/6/12,5.09,0:42:38,0:08:23,5/6/20,5,2012
Saturday,4/28/12,5.47,0:47:38,0:08:42,4/28/20,4,2012
Sunday,4/22/12,5.17,0:43:44,0:08:28,4/22/20,4,2012
Sunday,4/15/12,5.09,0:44:32,0:08:45,4/15/20,4,2012
Sunday,4/8/12,5.08,0:43:46,0:08:37,4/8/20,4,2012
Sunday,4/1/12,5.07,0:42:18,0:08:21,4/1/20,4,2012
Sunday,3/25/12,7.51,1:05:37,0:08:44,3/25/20,3,2012
Sunday,3/18/12,5.04,0:42:32,0:08:26,3/18/20,3,2012
Sunday,3/11/12,5.11,0:43:53,0:08:35,3/11/20,3,2012
Sunday,3/4/12,5.06,0:42:42,0:08:26,3/4/20,3,2012
Sunday,2/26/12,5.21,0:46:18,0:08:53,2/26/20,2,2012
Sunday,2/19/12,5.17,0:44:24,0:08:35,2/19/20,2,2012
Sunday,1/29/12,5.22,0:44:49,0:08:35,1/29/20,1,2012
Sunday,1/15/12,5.09,0:43:02,0:08:27,1/15/20,1,2012
Sunday,1/8/12,5.07,0:43:14,0:08:32,1/8/20,1,2012
Monday,1/2/12,5.17,0:43:36,0:08:26,1/2/20,1,2012
Friday,12/30/11,5,0:40:19,0:08:04,12/30/20,12,2011
Sunday,12/18/11,5.21,0:43:17,0:08:18,12/18/20,12,2011
