Day of week,Date,distance,pace,time,pace
Sunday,9/22/2013,5.04,8:59,45:17,0:08:59
Sunday,10/13/2013,1.26,8:23,10:36,0:08:23
Sunday,11/3/2013,5,9:01,45:06,0:09:01
Sunday,11/10/2013,5.03,9:00,45:18,0:09:00
Sunday,11/17/2013,5.02,8:59,45:08,0:08:59
Sunday,12/1/2013,5.02,8:48,44:12,0:08:48
Sunday,12/22/2013,5.03,8:53,44:44,0:08:53
Sunday,1/12/2014,5.02,9:09,45:53,0:09:09
Monday,2/3/2014,3.01,9:06,27:27,0:09:06
Thursday,2/6/2014,3.02,9:35,28:58,0:09:35
Sunday,3/9/2014,5,8:28,42:21,0:08:28
Sunday,3/23/2014,5,9:04,45:21,0:09:04
Sunday,3/30/2014,2.93,8:22,24:32,0:08:22
Sunday,4/6/2014,5.02,9:02,45.21,0:09:02
Sunday,4/13/2014,5.05,9:15,46:59,0:09:15
Sunday,4/27/2014,5.02,8:50,44:21,0:08:50
Sunday,5/11/2014,6.51,9:13,1:00:02,0:09:13
Sunday,5/18/2014,6.5,8:58,58:19,0:08:58
Sunday,5/25/2014,6.51,9:09,59:32,0:09:09
Sunday,6/1/2014,6.5,9:02,58:49,0:09:02
Sunday,6/8/2014,6.5,8:59,58:25,0:08:59
Sunday,6/15/2014,6.5,8:59,58:28,0:08:59
Sunday,6/22/2014,6.53,9:09,59:49,0:09:09
Sunday,6/29/2014,6.5,9:13,1:00:01,0:09:13
Sunday,7/6/2014,6.54,8:56,58:29,0:08:56
Saturday,8/2/2014,6.5,9:06,59:13,0:09:06
Sunday,8/10/2014,6.5,9:00,58:31,0:09:00
Sunday,8/17/2014,6.5,9:15,1:00:09,0:09:15
Sunday,8/24/2014,6.5,8:46,57:01,0:08:46
Saturday,8/30/2014,6.51,8:57,58:20,0:08:57
Friday,9/5/2014,5,8:59,44:55,0:08:59
Sunday,9/21/2014,5,9:02,45:13,0:09:02
Sunday,9/28/2014,5.04,8:29,42:48,0:08:29
Sunday,10/12/2014,5.05,8:29,42:53,0:08:29
Sunday,10/19/2014,5.02,8:48,44:13,0:08:48
Sunday,10/26/2014,5.03,8:33,43:02,0:08:33
Sunday,11/2/2014,5,8:33,42:50,0:08:33
Sunday,11/9/2014,5.01,8:46,43:54,0:08:46
Sunday,11/16/2014,5,9:02,45:12,0:09:02
Sunday,11/23/2014,5.01,8:58,45:00,0:08:58
Sunday,11/30/2014,5,8:47,43:56,0:08:47
Sunday,12/21/2014,5.01,8:32,42:48,0:08:32
Thursday,12/25/2014,5.03,8:23,42:13,0:08:23
Wednesday,12/31/2014,5.02,8:47,44:11,0:08:47
Sunday,1/4/2015,5.03,8:50,44:27,0:08:50
Sunday,1/11/2015,5,8:35,42:58,0:08:35
Sunday,1/25/2015,5.02,8:26,42:22,0:08:26
Sunday,2/8/2015,5.02,8:31,42:48,0:08:31
Saturday,2/14/2015,5,8:25,42:06,0:08:25
Sunday,2/22/2015,5.02,8:12,41:14,0:08:12
Sunday,3/1/2015,5.01,8:13,41:08,0:08:13
Sunday,3/15/2015,5.03,8:38,43:23,0:08:38
Sunday,3/22/2015,5.02,8:32,42:51,0:08:32
Wednesday,3/25/2015,3.01,8:56,26:57,0:08:56
Sunday,3/29/2015,5.01,8:30,42:39,0:08:30
Sunday,4/5/2015,7.12,8:36,1:01:14,0:08:36
Sunday,4/12/2015,7.15,8:38,1:01:45,0:08:38
Sunday,4/19/2015,7.23,8:31,1:01:33,0:08:31
Sunday,4/26/2015,5.01,8:45,43:53,0:08:45
Sunday,5/3/2015,7.31,8:49,1:04:27,0:08:49
Sunday,5/10/2015,7.15,8:32,1:01:05,0:08:32
Sunday,5/17/2015,7.21,8:37,1:02:06,0:08:37
Sunday,5/24/2015,6,8:35,51:32,0:08:35
Sunday,5/31/2015,7.28,8:52,1:04:40,0:08:52
Wednesday,6/3/2015,5,8:25,42:06,0:08:25
Sunday,6/7/2015,6.01,8:29,51:02,0:08:29
Sunday,6/14/2015,6.25,8:52,55:26,0:08:52
Sunday,6/21/2015,6.02,8:26,50:45,0:08:26
Friday,6/26/2015,7.3,8:38,1:03:07,0:08:38
Wednesday,7/1/2015,5.04,8:22,42:11,0:08:22
Sunday,7/5/2015,6.09,8:23,51:04,0:08:23
Sunday,7/12/2015,6.03,8:24,50:42,0:08:24
Thursday,7/16/2015,5.02,8:01,40:21,0:08:01
Friday,7/17/2015,5.01,8:21,41:49,0:08:21
Sunday,7/19/2015,6.02,8:42,52:24,0:08:42
Sunday,7/26/2015,6.18,9:17,57:26,0:09:17
Sunday,8/2/2015,5.01,8:11,41:02,0:08:11
Wednesday,8/5/2015,7.51,8:53,1:06:44,0:08:53
Thursday,8/6/2015,5.02,8:49,44:20,0:08:49
Sunday,8/9/2015,6,8:38,51:48,0:08:38
Sunday,8/16/2015,6.04,8:38,52:09,0:08:38
Sunday,8/23/2015,6.08,8:23,51:01,0:08:23
Sunday,8/30/2015,6,8:47,52:47,0:08:47
Sunday,9/6/2015,6,8:31,51:07,0:08:31
Sunday,9/13/2015,6,8:36,51:39,0:08:36
Sunday,9/27/2015,6.02,8:29,51:08,0:08:29
Sunday,10/4/2015,6.02,8:33,51:27,0:08:33
Sunday,10/18/2015,5,8:13,41:07,0:08:13
Sunday,10/25/2015,6.02,8:28,51:01,0:08:28
Sunday,11/1/2015,6.02,8:31,51:19,0:08:31
Sunday,11/8/2015,6,8:31,51:13,0:08:31
Sunday,11/22/2015,6.01,8:07,48:51,0:08:07
Thursday,11/26/2015,6.02,8:32,51:28,0:08:32
Sunday,12/6/2015,6,8:25,50:33,0:08:25
Sunday,12/13/2015,6.01,8:20,50:06,0:08:20
Wednesday,12/23/2015,6,8:42,52:14,0:08:42
Friday,12/25/2015,4.95,8:34,42:23,0:08:34
Sunday,12/27/2015,6.01,8:16,49:43,0:08:16
Sunday,1/3/2016,6,8:22,50:17,0:08:22
Sunday,1/10/2016,6.03,8:27,51:01,0:08:27
Sunday,1/17/2016,6.03,8:31,51:24,0:08:31
Sunday,2/7/2016,3.03,7:54,23:59,0:07:54
Sunday,2/14/2016,5.02,8:01,40:18,0:08:01
Tuesday,2/16/2016,2.83,8:06,22:58,0:08:06
Thursday,2/18/2016,3,8:34,25:47,0:08:34
Saturday,2/20/2016,6.02,8:06,48:44,0:08:06
Sunday,2/28/2016,6,8:33,51:21,0:08:33
Sunday,3/6/2016,6.01,8:28,50:56,0:08:28
Sunday,3/13/2016,6,8:22,50:13,0:08:22
Sunday,3/27/2016,6,8:35,51:32,0:08:35
Friday,4/8/2016,5,8:24,42:02,0:08:24
Sunday,4/17/2016,6,8:22,50:12,0:08:22
Sunday,4/24/2016,7.25,8:37,1:02:33,0:08:37
Wednesday,4/27/2016,5,8:34,42:54,0:08:34
Saturday,5/7/2016,6,8:37,51:46,0:08:37
Sunday,5/15/2016,6.5,8:27,54:57,0:08:27
Thursday,5/19/2016,3.96,9:00,35:42,0:09:00
Saturday,5/21/2016,6,8:50,52:58,0:08:50
Saturday,5/28/2016,6.25,8:33,53:25,0:08:33
Thursday,6/2/2016,5,8:23,41:55,0:08:23
